Dish_Name,Cuisine,Difficulty,Spicyness,Price_of_Ingredients,Content_based,Vegan,Veg_Nonveg,Meat,meal_type,Allergy,Ingredients,Links
Creamy Ham and Cheese Quiche,french,medium,not_spicy,mid_range,greasy,no,nonveg,ham,all_day,"lactose, gluten","cheese, flour, ham, honey mustard, eggs, onions, salt",https://www.allrecipes.com/recipe/241251/creamy-ham-and-cheese-quiche/?internalSource=streams&referringId=148&referringContentType=Recipe%20Hub&clickId=st_trending_b
French Crepes,french,easy,not_spicy,budget_friendly,quick_fix,no,nonveg,egg,breakfast,"lactose, gluten","eggs, milk, butter",https://www.allrecipes.com/recipe/20931/french-crepes/?internalSource=hub%20recipe&referringContentType=Search
Onion Soup Gratinee,french,hard,not_spicy,fine_dining,,no,nonveg,beef,dinner,lactose,"Butter, Onions, Beef, Red Wine, Worcestershire Sauce, Parsley, Thyme, Bay Leaf, Vinegar, Black Pepper, Bread, Cheese, Paprika","https://www.allrecipes.com/recipe/91192/french-onion-soup-gratinee/?internalSource=streams&referringId=721&referringContentType=Recipe%20Hub&clickId=st_recipes_mades"
Potatoes Au Gratin,french,medium,not_spicy,mid_range,,no,veg,-,lunch,lactose,"Potatoes, Garlic, Cream, Black Pepper, Nutmeg, Cheese",https://www.allrecipes.com/recipe/219721/rich-and-creamy-potatoes-au-gratin/?internalSource=hub%20recipe&referringContentType=Search&clickId=cardslot%202
Ratatouille,french,hard,not_spicy,fine_dining,,no,veg,-,dinner,lactose,"Tomato Paste, Onion, Garlic, Black Pepper, Eggplant, Zucchini, Squash, Bell pepper, Thyme, Cheese",https://www.allrecipes.com/recipe/222006/disneys-ratatouille/?internalSource=hub%20recipe&referringContentType=Search&clickId=cardslot%203
Coq Au Vin,french,hard,mild,fine_dining,,no,nonveg,chicken,dinner,-,"Chicken, Black Pepper, Mushrooms, Onion, Shallots, Butter, Thyme",https://www.allrecipes.com/recipe/239230/chef-johns-coq-au-vin/?internalSource=hub%20recipe&referringContentType=Search&clickId=cardslot%202
"Beetroot, hummus & crispy chickpea sub sandwich",general,easy,mild,budget_friendly,very_healthy,yes,veg,-,lunch,-,"beetroot, chickpeas, pesto,  olive oil, vinegar, ciabatta rolls, spinach",https://www.bbcgoodfood.com/recipes/beetroot-hummus-crispy-chickpea-sub-sandwich
Butter bean & chorizo stew,italian,easy,mild,budget_friendly,quick_fix,no,veg,-,lunch,-,"chorizo, tomatoes, butter beans, pesto",https://www.bbcgoodfood.com/recipes/butter-bean-chorizo-stew
Buffalo chicken,american,hard,spicy,mid_range,,no,nonveg,-,dinner,-,"chicken , salt, sugar, chilli flakes, paprika, cumin, butter, chilli sauce, maple syrup",https://www.bbcgoodfood.com/recipes/buffalo-chicken
Irish Stew,irish,medium,mild,mid_range,,no,nonveg,lamb,dinner,-,"lamb, salt, black pepper, oil, onion, butter, flour, chicken stock, rosemary, carrots, celery, potatoes",https://www.allrecipes.com/recipe/100292/irish-stew/?internalSource=hub%20recipe&referringContentType=Search&clickId=cardslot%202
Shepherd's Pie,irish,medium,not_spicy,mid_range,greasy,no,nonveg,beef,dinner,-,"potatoes, garlic, beef, flour, ketchup, mixed vegetables, black pepper, cheese, sour cream, salt",https://www.allrecipes.com/recipe/220519/irish-shepherds-pie/?internalSource=hub%20recipe&referringContentType=Search
Barmbrack,irish,easy,not_spicy,mid_range,,no,nonveg,egg,breakfast,gluten,"mixed fruit, tea, flour, cinnamon, nutmeg, baking soda, egg, sugar, lemon marmalade",https://www.allrecipes.com/recipe/162072/irish-barmbrack/
Irish Soda Bread,irish,easy,not_spicy,budget_friendly,,no,nonveg,egg,breakfast,"lactose, gluten","flour, baking powder, sugar, salt, baking soda, egg, butter",https://www.allrecipes.com/recipes/1452/bread/quick-bread/irish-soda-bread/?internalSource=hubcard&referringContentType=Search&clickId=cardslot%201
Sticky bourbon BBQ wings with blue cheese dip,american,easy,spicy,mid_range,greasy,no,nonveg,chicken,-,-,"chicken, olive oil, celery, radishes, tomato ketchup, vinegar, bourbon,  sugar, hot chilli sauce, Worcestershire sauce,  cumin, coriander, paprika, butter, gorgonzola, sour cream,  mayonnaise,  lemon ",https://www.bbcgoodfood.com/recipes/sticky-bourbon-bbq-wings-blue-cheese-dip
"Beef, ale & parsnip pudding",british,hard,not_spicy,fine_dining,greasy,no,nonveg,beef,lunch,gluten,"onion, bacon, olive oil, beef, flour, parsnips, brown ale, cranberry, butter, flour,  mustard powder",https://www.bbcgoodfood.com/recipes/beef-ale-parsnip-pudding
Roasted autumn vegetables with Lancashire cheese,british,easy,not_spicy,budget_friendly,greasy,no,veg,-,lunch,lactose,"squash, onion, olive oil, sage, courgette, vinegar, cheese",https://www.bbcgoodfood.com/recipes/1476/roasted-autumn-vegetables-with-lancashire-cheese
Sticky jerk salmon with mango slaw,caribbean,medium,not_spicy,mid_range,,no,nonveg,fish,lunch,seafood,"honey, fish, limes, cabbage, mango, pepper, onions, coriander",https://www.bbcgoodfood.com/recipes/sticky-jerk-salmon-mango-slaw
Goat curry,caribbean,hard,spicy,mid_range,,no,nonveg,mutton,dinner,-,"onion, garlic, ginger, oil, chillies, curry leaves, thyme, curry powder, mutton, tomato, lamb, beans, lemon, coriander, rice",https://www.bbcgoodfood.com/recipes/goat-curry
Hot & spicy sweet potatoes,caribbean,medium,spicy,budget_friendly,quick_fix,yes,veg,-,lunch,-,"sweet potatoes, olive oil, thyme, chilli",https://www.bbcgoodfood.com/recipes/1857/hot-and-spicy-sweet-potatoes
Exotic avocado salad,caribbean,easy,not_spicy,budget_friendly,very_healthy,yes,veg,-,lunch,-,"pumpkin seeds, papaya, avocado, watercress, mint, lime, olive oil",https://www.bbcgoodfood.com/recipes/1855/exotic-avocado-salad
Lamb kleftiko,greek,hard,mild,mid_range,,no,nonveg,lamb,lunch,-,"garlic, oregano, rosemary, lemon, cinnamon, olive oil, lamb, potato, bay leaves, yogurt, mint,  spinach, parsley, onion, cucumber, olive",https://www.bbcgoodfood.com/recipes/lamb-kleftiko
Greek-style roast fish,greek,easy,not_spicy,fine_dining,,no,nonveg,fish,dinner,-,"potatoes, onion, garlic, oregano, olive oil, lemon, tomatoes, fish, parsley",https://www.bbcgoodfood.com/recipes/greek-style-roast-fish
