Dish_Name,Cuisine,Difficulty,Veg or Nonveg,Meat,Allergy,Ingredients,Links
French Crepes,French,Easy,Non-Veg,Egg,"Gluten, Lactose","Eggs, Milk, Butter",https://www.allrecipes.com/recipe/20931/french-crepes/?internalSource=hub%20recipe&referringContentType=Search
Onion Soup Gratinee,French,Hard,Non-Veg,Beef,Lactose,"Butter, Onions, Beef, Red Winr, Worcestershire Sauce, Parsley, Thyme, Bay Leaf, Vinegar, Black Pepper, Bread, Cheese Slices, Mozzerella, Paprika","https://www.allrecipes.com/recipe/91192/french-onion-soup-gratinee/?internalSource=streams&referringId=721&referringContentType=Recipe%20Hub&clickId=st_recipes_mades
"
Potatoes Au Gratin,French,Medium,Veg,-,Lactose,"Potatoes, Garlic, Cream, Black Pepper, Nutmeg, Cheese",https://www.allrecipes.com/recipe/219721/rich-and-creamy-potatoes-au-gratin/?internalSource=hub%20recipe&referringContentType=Search&clickId=cardslot%202
Ratatouille,French,Hard,Veg,-,Lactose,"Tomato Paste, Onion, Garlic, Black Pepper, Eggplant, Zucchini, Squash, Bell pepper, Thyme Leaves, Cheese",https://www.allrecipes.com/recipe/222006/disneys-ratatouille/?internalSource=hub%20recipe&referringContentType=Search&clickId=cardslot%203
Coq Au Vin,French,Hard,Non-Veg,Chicken,Lactose,"Chicken, Black Pepper, Mushrooms, Onion, Shallots, Butter, Thyme, ",https://www.allrecipes.com/recipe/239230/chef-johns-coq-au-vin/?internalSource=hub%20recipe&referringContentType=Search&clickId=cardslot%202
Blue Cheese Burger,American,Hard,Non-veg,Beef,-,"beef,crumbled,chives,pepper sauce,Worcestershire sauce,pepper,salt,mustard,buns,",
Chicken Fried Steak,American,Hard,Non-veg,Steak,Lactose, ,
Mac n Cheese,American,Medium,Veg,-,"Lactose, Gluten","pasta,milk,Salad Dressing,eggs,cheese,crumbs,butter,",https://www.bbcgoodfood.com/recipes/best-ever-macaroni-cheese-recipe
Fajitas,American,Hard,Veg,-,-,"vinegar,oregano,powder,garlic,salt,sugar,zucchini,squash,onion,bell pepper,corn,black beans",
Hot dog,American,Medium,Non-veg,Beef ,-,"beef,water,onion,ketchup,butter,garlic,powder,salt,pepper,cumin,salt,pepper,dogs,buns,mustard,onion",
Chili Nachos,American,Easy,Veg,-,-,"tomatoes,onion,cilantro,lime,tortilla chips,Beans,olives,cheese,jalapeno",
Italian BBQ Chicken,Italian,Easy,Nonveg,Chicken,,"Chicken Breasts, Italian dressing, BBQ Sauce",https://www.yummly.com/recipe/Three-Ingredient-Italian-BBQ-Chicken-2592658
Italian Chicken Bake,Italian,Easy,Nonveg,Chicken,,"Chicken breasts, Pesto, Roma tomatoes, mozzarella cheese (grated)",https://www.yummly.com/recipe/_Easy-Dinner-Recipe_-Italian-Chicken-Bake-2270309
Italian Sausage with Pasta and Herbs,Italian,Moderate,Nonveg,Sausage,,"Italian sausage, olive oil, zucchini, red bell pepper, rotini, ricotta cheese, dried herbs (basil, sage, parsely), Parmesan cheese",https://www.yummly.com/recipe/Italian-Sausage-with-Pasta-and-Herbs-2248844
Italian Sausage and Peppers,Italian,Difficult,Nonveg,Sausage,,"olive oil, Italian sausages, butter, sweet onionm, red bell peppers , green bell peppers, cloves garlic, dried oregano, dried basil, salt, chicken broth, tomatoes, red pepper",https://www.yummly.com/recipe/Italian-Sausage-and-Peppers-2343465
Simple Italian Salad,Italian,Easy,Veg,NO,,"garlic powder, dried oregano, dried basil, salt, olive oil, red wine, vinegar",https://www.yummly.com/recipe/Simple-Italian-Salad-9075359
Spinach & ricotta rotolo,Italian,Challenging,Veg or Nonveg,,,"Spinach, garlic clove, butter, marjoram or oregano, ricotta, parmesan, Theo's pasta dough, olive oil, tomato sauce",https://www.bbcgoodfood.com/recipes/spinach-ricotta-rotolo
Braised Zucchini,Chinese,Easy,Veg,No,,"onion,sesame oil,garlic,Chinese black bean sauce,Thai chile peppers,zucchinis,ginger root,oy sauce,water",https://www.allrecipes.com/recipe/172391/chinese-braised-zucchini/?internalSource=recipe%20hub&referringContentType=Search&clickId=cardslot%2063
Barbeque Pork,Chinese,Hard,Nonveg,Pork,,"soy sauce,honey,rice wine,hoisin sauce,ketchup,brown sugar,cloves garlic,spice powder,black pepper,cayenne pepper,salt ,pork butt",https://www.allrecipes.com/recipe/258494/chinese-barbeque-pork-char-siu/?internalSource=recipe%20hub&referringContentType=Search&clickId=cardslot%20139
Mongolian Beef and Spring Onions,Chinese,Hard,Nonveg,Beef,,"vegetable oil,garlic,ginger root,soy sauce,water,dark brown sugar,beef flank steak,cornstarch,green onions",https://www.allrecipes.com/recipe/201849/mongolian-beef-and-spring-onions/?internalSource=hub%20recipe&referringContentType=Search&clickId=cardslot%203
Style Steamed Fish,Chinese,Hard,Nonveg,Fish,,"halibut,onions, mushrooms,napa cabbage,cloves garlic,low-sodium soy sauce,water,red pepper ,cilantro sprigs",https://www.allrecipes.com/recipe/53551/chinese-style-steamed-fish/?internalSource=hub%20recipe&referringContentType=Search&clickId=cardslot%204
Authentic  Egg Rolls ,Chinese,medium,Nonveg,Chicken,,"vegetable oi,eggs,cabbage,carrot,bamboo，wood ear mushroom，pork，green onions，soy sauce，salt，sugar，monosodium glutamate，egg roll wrappers,egg white.",https://www.allrecipes.com/recipe/61913/authentic-chinese-egg-rolls-from-a-chinese-person/?internalSource=hub%20recipe&referringContentType=Search&clickId=cardslot%203
Irish Soda Bread,Irish,Easy,Veg,No,"Lactose, Gluten","3 cups all-purpose flour,1 tablespoon baking powder,1/3 cup white sugar,1 teaspoon salt,1 teaspoon baking soda,1 egg, lightly beaten,2 cups buttermilk,1/4 cup butter, melted",
Potato Farls,Irish,Easy,Veg,No,"Lactose, Gluten","4 medium potatoes, peeled and halved,1 pinch salt,1/4 cup all-purpose flour, plus extra for dusting,1 tablespoon melted butter",
Barmbrack,Irish,Easy,Veg,No,Gluten,"2 1/2 cups chopped dried mixed fruit,1 1/2 cups hot brewed tea,2 1/2 cups flour,1 teaspoon ground cinnamon,1/2 teaspoon ground nutmeg,1/2 teaspoon baking soda,1 egg,1 1/2 cups sugar,1/4 cup lemon marmalade,1 teaspoon grated orange zest",
Shepherd's Pie,Irish,Medium,Nonveg,Beef/Lamb,,"1 1/4 pounds Yukon Gold potatoes, peeled and cubed,3 cloves garlic, halved,1 pound lean ground beef,2 tablespoons flour,3/4 cup beef broth,3 tablespoons ketchup,4 cups frozen mixed vegetables,1/2 teaspoon black pepper,1/2 cup shredded Cheddar cheese, divided,3/4 cup light sour cream,1 teaspoon salt",
Irish Stew ,Irish,Medium,Nonveg,Lamb,,"3 pounds lamb shoulder chops,salt and ground black pepper to taste,1 tablespoon vegetable oil,1 onion, chopped,1 tablespoon butter,2 tablespoons all-purpose flour,3 cups chicken stock,1/2 teaspoon dried rosemary,2 carrots, chopped,2 stalks celery, chopped,water as needed,1 1/2 pounds baby Dutch yellow potatoes,1/4 cup chopped green onions",
